Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,928441926,1096758278,1485859230,2159376996,2565282149,2671001624,2650728029,2138849784,2810296992,2866196043,3085119234,3524811125,3803612567,4423995305,4211309120
7606--ALUMINUM PLATES; SHEETS & STRIP OVER .2MM THICK,44861153,49556431,69339110,233765868,270437173,370564952,373433344,188007278,474878319,694064939,555373633,704558904,1012275934,1345628137,1068837624
7615--HOUSEHOLD ART ETC; POT SCOUR ETC; SAN WR; ALUMINUM,340507848,361216896,374291277,449415276,502674578,513949449,545670908,543962541,699135689,719240355,726806085,815101414,783889089,893304519,969190056
7616--ARTICLES OF ALUMINUM NESOI,358534729,427755919,612858909,732814570,762401017,699286372,693186529,476226778,633943300,696373656,900362823,977155216,874662488,845605036,849077068
7607--ALUMINUM FOIL (BACK OR NOT) NOV .2MM TH (EX BACK),58167358,77575177,104790975,164073379,193585689,226312638,262347726,186011956,257662634,386936936,361110051,519036456,580029670,610557734,567163689
7610--ALUMINUM STRUCTURES NESOI (NO PREFAB) & PARTS OF,25104264,29765341,52576829,76046832,105458477,144424449,195553749,95737042,88314580,110883568,149994172,168287774,191848203,260481438,276618475
7604--ALUMINUM BARS; RODS AND PROFILES,45216433,76422430,143124753,262285170,427304901,407422797,322302385,494863798,511976528,84538195,93645082,111056437,126241483,143109621,168734797
7601--ALUMINUM; UNWROUGHT,8413303,2584969,32667232,140269657,166672848,120176281,71848542,10296861,20703729,25578748,47186668,62013429,51139493,125850195,95584656
7608--ALUMINUM TUBES AND PIPES,17142896,23289643,34871702,39666471,48805902,56872594,51756925,56713859,44453548,43284985,44531522,48658071,51998372,56449639,57958138
7609--ALUMINUM TUBE OR PIPE FITTINGS,14745728,21285657,29132169,38832120,59174750,66139193,75224626,49947515,34905484,34624086,36531569,44897918,48298308,40934992,41322466
7612--ALUMINUM CASKS; CANS ETC NOV 300 LITER CAPACITY,9934834,21463609,25825838,14137600,13376825,22451999,30993633,17987667,25129463,32333374,28649703,28033463,27509282,28382543,29499741
7605--ALUMINUM WIRE,1233504,1623612,1716033,4124134,5426631,27986691,13277359,11464013,9830899,11714938,76704988,11941943,11473147,22451638,24956247
7614--STRANDED WIRE; CABLES ETC; ALUMINUM; NO ELEC INSUL,458752,1099694,345696,424447,3657725,5666643,6139850,3118441,3308011,9077475,49541768,12861431,18285224,23177505,19117245
7602--ALUMINUM WASTE AND SCRAP,1519631,764141,1161648,600647,1419957,1298212,2437896,499950,985964,11310299,2387730,3055054,4987831,4711141,17969981
7603--ALUMINUM POWDERS AND FLAKES,2008750,1519822,1932894,2239783,3967898,7026406,5563713,2877272,3743088,4026873,5470198,9517360,12512317,13040664,17381500
7613--ALUMINUM CONTAINERS FOR COMPRESSED OR LIQUEFID GAS,365819,481773,864610,514561,585937,410602,433977,783376,1004370,1491938,6402840,7889797,7906453,9820441,7363837
7611--TANKS ETC; OVER 300 LITER CAPACITY; ALUMINUM,226924,353164,359555,166481,331841,1012346,556867,351437,321386,715678,420402,746458,555273,490062,533600
