Partner,2008,2009,2010,2011,2012,2013,2014,2015,2016
World,43005207,22034099,45020636,48219582,44177523,45701099,61867625,71288695,59626202
Germany,7369246,3779249,8938860,10540243,9198226,11602857,12201317,14325786,16777289
China,466531,592539,927314,1238703,2664822,6993690,10009798,10426597,15131301
Australia,13593438,9505609,14412189,14073910,15649270,12471551,21019605,23403517,10038981
United Kingdom,3302791,637621,1313481,2054481,5203959,4237021,5684038,5741491,5221724
Bahrain,4834598,1323842,4362475,8228989,4716533,4295050,6542126,8768179,5125584
Austria,3561737,2586312,3622911,3652957,2339398,2097789,2326376,2622560,2651981
South Korea,3268574,1585607,1684673,1988058,2311044,1807490,1541441,1600122,1367378
Brazil,3517299,151255,398590,224226,442048,174409,48160,1260846,1183140
Japan,259491,254551,320947,234056,287323,522867,844067,884302,783600
France,131672,868501,7033896,3485415,221407,746498,709648,872070,432721
Slovenia,589809,40000,0,0,387840,103494,360341,527224,233944
Canada,227620,171100,16821,30925,28096,31422,56669,211985,211120
Sweden,35488,30662,32766,57840,28814,78558,43786,37340,167792
India,1217833,444575,810154,566056,207009,193313,117011,80485,93221
Ukraine,0,0,0,0,0,0,0,0,55200
Czech Republic,0,0,0,0,180569,271540,177691,239180,55016
Israel,0,8486,18595,43800,25198,0,90680,26025,51918
Italy,0,0,2089,0,47758,0,7107,28948,15429
Romania,0,0,0,0,0,0,0,0,13289
Belgium,59097,0,6056,22546,2928,0,20683,10615,6431
Taiwan,351284,0,0,0,0,0,0,0,6000
Netherlands,0,0,0,2120,6321,8873,0,0,3143
Turkey,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0
Switzerland,2390,0,0,4378,0,8062,0,52998,0
Spain,0,0,0,0,0,0,0,0,0
South Africa,2090,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,49158,0
Sierra Leone,107200,0,0,0,0,0,0,0,0
Russian Federation,107019,54190,127850,0,0,56615,59463,116417,0
Poland,0,0,977470,1766799,228960,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0
Mexico,0,0,13499,0,0,0,3115,2850,0
Malta,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,0,0,0,0,0
Hong Kong,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,4503,0,0
Bahamas,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,4080,0,0,0,0,0
